PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon,dist_km_rodrigo_silva
830611/2026,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1979.7,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 18/05/2026,-17.2611,-44.6688,366.9
832434/2024,3D MINERALS LTDA,CALCÁRIO,REQUERIMENTO DE LAVRA,840.24,2801 - REQ LAV/COMPLEMENTO REQ LAV EDITAL DISP PROTOC EM 26/11/2025,-17.2168,-44.6857,372.1
832410/2024,3D MINERALS LTDA,MINÉRIO DE LÍTIO,AUTORIZAÇÃO DE PESQUISA,1487.78,249 - AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL PROTOC EM 15/01/2026,-17.248,-42.021,389.8
832412/2024,3D MINERALS LTDA,MINÉRIO DE LÍTIO,AUTORIZAÇÃO DE PESQUISA,1784.6,249 - AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL PROTOC EM 15/01/2026,-17.2456,-41.878,396.7
832628/2024,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,384.3,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-18.1391,-46.9537,428.5
832459/2024,3D MINERALS LTDA,FOSFATO,AUTORIZAÇÃO DE PESQUISA,318.58,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 05/01/2026,-19.3582,-47.9558,465.1
3576/1937,EMPABRA EMPRESA DE MINERACAO PAU BRANCO LTDA,BAUXITA,CONCESSÃO DE LAVRA,85.16,472 - CONC LAV/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC EM 22/09/2025,-20.4662,-43.6899,8.1
7227/1957,EMPABRA EMPRESA DE MINERACAO PAU BRANCO LTDA,FERRO,CONCESSÃO DE LAVRA,12.5,436 - CONC LAV/DOCUMENTO DIVERSO PROTOC EM 26/08/2026,-19.9428,-43.8891,59.4
3035/1963,ITAMINAS COMERCIO DE MINERIOS SA,FERRO,CONCESSÃO DE LAVRA,151.17,418 - CONC LAV/RAL ANO BASE APRESENTADO EM 31/03/2026,-20.0939,-44.1242,62.9
5962/1956,ITAMINAS COMERCIO DE MINERIOS SA,FERRO,CONCESSÃO DE LAVRA,71.71,436 - CONC LAV/DOCUMENTO DIVERSO PROTOC EM 27/08/2026,-20.0688,-44.1098,63.3
834404/2012,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1736.82,642 - AUT PESQ/TAH - PAGAMENTO MULTA EFETUADO EM 04/04/2022,-15.9792,-42.4836,507.1
834401/2012,Itasider Usina Siderurgica Itaminas S A,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1912.37,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 04/04/2022,-15.9744,-42.4024,509.7
