UF,PROCESSO,NOME,SUBS,FASE,AREA_HA,ULT_EVENTO,lat,lon
MG,831630/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,0.08,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 27/10/2025,-20.1432,-44.3141
MG,831630/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,25.94,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 27/10/2025,-20.1483,-44.3247
MG,831633/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,134.21,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 28/10/2025,-19.8241,-43.3429
MG,831629/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,168.39,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 27/10/2025,-19.7696,-43.2224
MG,831630/2025,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,0.04,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 27/10/2025,-20.144,-44.3116
MG,830611/2026,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1979.7,100 - REQ PESQ/REQUERIMENTO PESQUISA PROTOC EM 18/05/2026,-17.2611,-44.6688
PA,850801/2024,3D MINERALS LTDA,OURO,AUTORIZAÇÃO DE PESQUISA,4292.72,249 - AUT PESQ/TRANSF DIREITOS-CESSÃO TOTAL PROTOC EM 03/09/2026,-6.6658,-50.2054
PA,850835/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,1700.84,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 06/07/2026,-6.7804,-50.4059
PA,850882/2024,3D MINERALS LTDA,ESTANHO,REQUERIMENTO DE PESQUISA,7427.26,2847 - REQ PESQ/RECURSO NEGADO-SUPERINTENDENTE PUBL EM 02/06/2026,-6.9454,-52.1259
PA,850868/2024,3D MINERALS LTDA,MINÉRIO DE MANGANÊS,AUTORIZAÇÃO DE PESQUISA,6850.04,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 14/07/2026,-5.3945,-50.3358
PA,850869/2024,3D MINERALS LTDA,MINÉRIO DE OURO,REQUERIMENTO DE PESQUISA,2528.2,2847 - REQ PESQ/RECURSO NEGADO-SUPERINTENDENTE PUBL EM 02/06/2026,-7.213,-56.7809
PA,850875/2024,3D MINERALS LTDA,MINÉRIO DE NÍQUEL,AUTORIZAÇÃO DE PESQUISA,4810.3,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 07/07/2026,-5.518,-49.3815
PA,867040/2024,3D MINERALS LTDA,MINÉRIO DE COBRE,AUTORIZAÇÃO DE PESQUISA,8180.35,264 - AUT PESQ/TAH - PAGAMENTO EFETUADO EM 09/01/2026,-9.4514,-56.0941
