dist_km,NOME,SUBS,FASE,AREA_HA,PROCESSO,lat,lon
3.5,THIAGO DE CASTRO SOUSA,MINÉRIO DE FERRO,DISPONIBILIDADE,79.37,831270/2008,-20.3941,-43.6489
3.8,ILAN AKHERMAN,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,557.96,834777/2008,-20.406,-43.6636
3.8,GERDAU ACOMINAS S/A,MANGANÊS,CONCESSÃO DE LAVRA,40.0,724/1942,-20.4373,-43.6613
3.8,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,13.61,832090/2005,-20.4394,-43.6601
3.8,AGUA NOVA PESQUISAS MINERAIS LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1.62,831584/2006,-20.4532,-43.6229
3.8,RICARDO NORBERTO RIBEIRO,MINÉRIO DE OURO,DISPONIBILIDADE,342.8,830819/1998,-20.4108,-43.5946
3.9,ISHIZO EMPREENDIMENTOPARTICIPAÇÕES LTDA,GRANADA,REQUERIMENTO DE LAVRA,403.48,806794/1977,-20.4548,-43.6367
4.1,VALE S.A.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,206.04,833282/2007,-20.3917,-43.6546
4.1,TERRATIVA MINERAIS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,1050.09,830087/2009,-20.3897,-43.6519
4.1,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,196.05,832594/2005,-20.387,-43.6487
4.1,VITORIA EMPREENDIMENTOS MINERACAO IMPORTACAO E EXPORTACAO DE MINERIOS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,995.55,831794/2024,-20.4003,-43.5963
4.1,RNW MINERACAO E EXPORTACAO LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,9.65,831325/2005,-20.4562,-43.6224
4.1,NIVA COMERCIAL EXPORTADORA E IMPORTADORA LTDA,TOPÁZIO,REQUERIMENTO DE LAVRA,351.8,834745/1994,-20.4452,-43.659
4.2,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,36.23,830160/2007,-20.4274,-43.6696
4.2,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,102.63,300152/2018,-20.3969,-43.5981
4.3,AGUA NOVA PESQUISAS MINERAIS LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,2.25,831584/2006,-20.4579,-43.6212
4.4,W T JUNIOR,QUARTZO,AUTORIZAÇÃO DE PESQUISA,135.88,833210/2013,-20.4591,-43.6379
4.4,VALE S.A.,MINÉRIO DE FERRO,APTO PARA DISPONIBILIDADE,1108.98,832677/2007,-20.3823,-43.6181
4.5,Bemil Beneficiamento de Minérios Ltda,CALCÁRIO,CONCESSÃO DE LAVRA,48.88,397/1942,-20.3798,-43.627
