dist_km,NOME,SUBS,FASE,AREA_HA,PROCESSO,lat,lon
10.8,Cnm Companhia Nacional de Mineração,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1805.35,830518/2015,-20.3364,-43.5761
10.8,MG DRILL DETONACOES E PERFURACOES LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,848.3,830812/2012,-20.3394,-43.688
10.8,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,0.54,803394/1976,-20.4497,-43.7293
10.9,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,0.01,803394/1976,-20.4502,-43.73
11.0,ULYMAR FERREIRA DA ROCHA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,554.8,830123/2022,-20.5111,-43.5879
11.1,Pedreira Irmãos Machado Ltda,GNAISSE,REQUERIMENTO DE LAVRA,16.35,830513/2017,-20.3393,-43.6929
11.1,NOVELIS DO BRASIL LTDA.,FERRO,CONCESSÃO DE LAVRA,786.33,2621/1935,-20.4176,-43.5237
11.1,RIO MANSO MINERACAO LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,0.05,831912/2015,-20.4306,-43.524
11.3,GERDAU ACOMINAS S/A,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,76.96,832375/2014,-20.4215,-43.739
11.3,Recursos Minerais do Brasil S.a,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,13.2,831738/2014,-20.4872,-43.5484
11.3,Edilson Corrêa Mariani,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,0.05,831547/2009,-20.4974,-43.5588
11.3,MINERIOS E JAZIDAS MINERAIS FME LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,5.0,832582/2016,-20.4497,-43.7336
11.4,ARCELORMITTAL BRASIL S.A.,DOLOMITO,CONCESSÃO DE LAVRA,13.5,5672/1957,-20.4294,-43.7387
11.4,Brazminco Ltda,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,222.05,830618/2018,-20.3915,-43.7349
11.4,Pedreira Irmãos Machado Ltda,GNAISSE,AUTORIZAÇÃO DE PESQUISA,40.83,832257/2023,-20.3384,-43.697
11.5,Caystar Exploraçao Mineral (brasil) Ltda,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1805.16,832750/2006,-20.3287,-43.5779
11.5,MINERIOS E JAZIDAS MINERAIS FME LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,28.58,833583/2014,-20.4305,-43.5196
11.5,Edilson Corrêa Mariani,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,2.05,831547/2009,-20.4971,-43.5555
11.6,MINERACAO CENTRO SUL LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,491.32,830227/2025,-20.5236,-43.6149
11.7,RIO MANSO MINERACAO LTDA,BAUXITA,CONCESSÃO DE LAVRA,4.61,5268/1959,-20.4408,-43.5196
11.7,CELSO FRANCISCO GOMES JUNIOR,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,219.64,831356/2024,-20.4783,-43.5365
11.7,SERGIO HENRIQUE MUSCHIONI,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,2.72,830245/2025,-20.4405,-43.5197
11.7,3D MINERALS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,29.45,831635/2025,-20.4469,-43.5209
11.8,Gilson de Maio Reis,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,605.06,830628/2020,-20.4025,-43.5181
11.8,Pedreira Irmãos Machado Ltda,GNAISSE,DIREITO DE REQUERER A LAVRA,49.72,832228/2023,-20.3404,-43.7053
11.8,3D MINERALS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,123.7,832638/2024,-20.4448,-43.5196
11.8,Pedreira Irmãos Machado Ltda,GNAISSE,REQUERIMENTO DE LAVRA,40.1,830515/2017,-20.3314,-43.6926
12.0,F.M. DE ASSIS SILVA - EXTRACAO E COMERCIO DE MINERIOS LTDA,DOLOMITO,REQUERIMENTO DE LAVRA,717.5,832239/1987,-20.4164,-43.7456
12.0,CLAUDIO ROBERTO FERREIRA CARNEIRO,GNAISSE,AUTORIZAÇÃO DE PESQUISA,49.89,830786/2018,-20.3158,-43.6595
12.0,Pedreira Irmãos Machado Ltda,GNAISSE,AUTORIZAÇÃO DE PESQUISA,49.93,832184/2023,-20.3355,-43.7022
12.1,Pedreira Irmãos Machado Ltda,GNAISSE,CONCESSÃO DE LAVRA,5.47,830338/1999,-20.3275,-43.6916
12.1,Pedreira Irmãos Machado Ltda,ARGILA,AUTORIZAÇÃO DE PESQUISA,4.93,830097/2026,-20.3296,-43.6947
12.2,EMPRESA DE MINERACAO ESPERANCA S A,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1375.24,831419/2014,-20.3741,-43.7363
12.2,Pedreira Irmãos Machado Ltda,GNAISSE,REQUERIMENTO DE LAVRA,49.72,832101/1986,-20.3314,-43.7002
12.2,RIO MANSO MINERACAO LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,46.48,832472/2024,-20.4444,-43.5153
12.3,RIO MANSO MINERACAO LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,61.62,831912/2015,-20.4392,-43.5135
12.5,Pedreira Irmãos Machado Ltda,GNAISSE,CONCESSÃO DE LAVRA,4.44,830116/2000,-20.3274,-43.6983
12.5,HANDERSON MOREIRA DE PAULA RODRIGUES,ESTEATITO,AUTORIZAÇÃO DE PESQUISA,134.63,832653/2021,-20.5248,-43.585
12.5,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE LAVRA,6.11,803394/1976,-20.4603,-43.7425
12.6,EDSON DE OLIVEIRA AQUINO,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,864.76,831652/2021,-20.3101,-43.6597
12.6,LUIZ EDUARDO GONCALVES DE REZENDE,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,5.79,830538/2023,-20.455,-43.7457
12.7,Pedreira Irmãos Machado Ltda,GNAISSE,CONCESSÃO DE LAVRA,49.98,830527/1990,-20.3239,-43.6968
12.7,THIAGO DE CASTRO SOUSA,FILITO,REQUERIMENTO DE PESQUISA,0.95,833326/2012,-20.4614,-43.7443
12.8,Pedreira Irmãos Machado Ltda,GRANITO,DIREITO DE REQUERER A LAVRA,15.19,832073/2014,-20.3271,-43.7027
13.0,THIAGO DE CASTRO SOUSA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,34.73,831257/2016,-20.4553,-43.7489
13.1,Pedreira Irmãos Machado Ltda,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,266.05,831643/2020,-20.3286,-43.7104
13.2,MINERACAO RODEIO DE BAIXO LTDA,CALCÁRIO,CONCESSÃO DE LAVRA,25.07,5886/1940,-20.4589,-43.75
13.2,ASSOCIAÇÃO DOS EXPLORADORES DE QUARTZITO DO MORRO SÃO SEBASTIÃO,QUARTZITO,AUTORIZAÇÃO DE PESQUISA,375.0,830357/2004,-20.3732,-43.5136
13.2,MINERACAO RODEIO DE BAIXO LTDA,CALCÁRIO,CONCESSÃO DE LAVRA,25.0,2844/1943,-20.4599,-43.7498
13.2,VITORIA MINAS BRASILEIRA MINERACAO E EXPORTACAO LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1994.7,831713/2021,-20.5391,-43.6343
13.4,VALE S.A.,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,342.58,833839/2007,-20.3738,-43.5111
13.4,EMILIO MARCIO GOMES DE CARVALHO,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,22.39,830613/2022,-20.4114,-43.5017
13.4,Recursos Minerais do Brasil S.a,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,716.79,831738/2014,-20.4995,-43.5334
13.5,NIVALDO NUNES DE SOUZA,GNAISSE,AUTORIZAÇÃO DE PESQUISA,32.48,830247/2017,-20.301,-43.6546
13.6,LUIZ EDUARDO GONCALVES DE REZENDE,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,2.4,830538/2023,-20.4684,-43.7506
13.7,Cnm Companhia Nacional de Mineração,MINÉRIO DE OURO,APTO PARA DISPONIBILIDADE,1168.14,831140/2015,-20.3318,-43.5384
13.8,COMERCIO E INDUSTRIA VERBAZZA LTDA,TALCO,CONCESSÃO DE LAVRA,2.16,8807/1965,-20.5392,-43.591
13.8,Caystar Exploraçao Mineral (brasil) Ltda,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1193.65,832751/2006,-20.3289,-43.5392
13.8,EDSON DE OLIVEIRA AQUINO,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,298.61,831620/2021,-20.2954,-43.6303
13.9,MINAS SERP ADITIVOS MINERAIS LTDA,SERPENTINITO,CONCESSÃO DE LAVRA,634.51,831022/1981,-20.5424,-43.5996
13.9,SUBSOLOS - EMPREENDIMENTOS MINERARIOS LTDA,FILITO,REQUERIMENTO DE LAVRA,29.91,832273/2015,-20.418,-43.7633
14.0,INDUSTRIA E COMERCIO SAO JOSE LIMITADA,MANGANÊS,REQUERIMENTO DE PESQUISA,1898.92,831463/2024,-20.5309,-43.566
14.0,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,2.26,301020/2022,-20.415,-43.7644
14.1,MINAS SERP ADITIVOS MINERAIS LTDA,TALCO,CONCESSÃO DE LAVRA,30.39,4225/1947,-20.544,-43.6015
14.1,BELMONT MINERACAO LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,800.25,833638/2011,-20.3373,-43.7327
14.3,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,8.47,830950/2008,-20.3722,-43.5025
14.4,JOAO FERNANDO MARTINS HIPPERTT,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,145.98,831171/2009,-20.2903,-43.638
14.5,Jh Extraçao de Minerio Nas Terras de Minas Ltda,MINÉRIO DE MANGANÊS,AUTORIZAÇÃO DE PESQUISA,1962.16,832968/2009,-20.5365,-43.5674
14.6,O & P PARTICIPACOES SOCIETARIAS LTDA,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,560.83,832839/2010,-20.3594,-43.5059
14.6,VALE S.A.,MINÉRIO DE FERRO,REQUERIMENTO DE PESQUISA,2.09,830950/2008,-20.3737,-43.4989
14.6,MINERACAO GUARACIABA LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,1.24,831651/2020,-20.3917,-43.7676
14.7,NOVA L.M.A. PARTICIPACOES E EMPREENDIMENTOS LTDA,MINÉRIO DE FERRO,AUTORIZAÇÃO DE PESQUISA,2.21,832397/2024,-20.3893,-43.7675
14.7,MINERACAO RODEIO DE BAIXO LTDA,CALCÁRIO,AUTORIZAÇÃO DE PESQUISA,601.87,831158/2017,-20.4639,-43.7637
14.7,DADO NÃO CADASTRADO,DADO NÃO CADASTRADO,DISPONIBILIDADE,1.47,300838/2025,-20.4543,-43.7665
14.8,MAURICIO DE BARROS,PIRITA,REQUERIMENTO DE PESQUISA,465.18,831439/2007,-20.3872,-43.4922
14.8,GERDAU ACOMINAS S/A,FERRO,CONCESSÃO DE LAVRA,4102.63,4575/1935,-20.4352,-43.7714
14.9,Diamantes do Triângulo Mineiro Ltda,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1274.9,830817/2012,-20.2934,-43.5833
14.9,ROYAL MINING MINERACAO E COMERCIO LTDA,MINÉRIO DE OURO,AUTORIZAÇÃO DE PESQUISA,1976.97,833324/2007,-20.5459,-43.6791
