Município,Quantitativo
RIO DE JANEIRO,54719
DUQUE DE CAXIAS,11068
NOVA IGUAÇU,9782
SÃO GONÇALO,8499
QUEIMADOS,3635
SÃO JOÃO DE MERITI,3520
PETRÓPOLIS,3362
VOLTA REDONDA,3349
MAGÉ,2305
ITAGUAÍ,2283
