Município,Quantitativo
RIO DE JANEIRO,48760
SÃO GONÇALO,8053
NOVA IGUAÇU,6927
MARICÁ,5527
NITERÓI,5251
SÃO JOÃO DE MERITI,3923
VOLTA REDONDA,3057
DUQUE DE CAXIAS,2265
CAMPOS DOS GOYTACAZES,1706
MESQUITA,1546
