Município,Quantitativo
RIO DE JANEIRO,12401
SÃO GONÇALO,4114
NOVA IGUAÇU,2741
CAMPOS DOS GOYTACAZES,2185
SÃO JOÃO DE MERITI,1914
ARARUAMA,1907
DUQUE DE CAXIAS,1863
NITERÓI,1758
PETRÓPOLIS,1700
VOLTA REDONDA,1621
