partido,2011,2016,2026
MDB,122517,95931,33137
PT,111765,79405,51143
PP,73518,60091,20318
PDT,61840,50354,16641
PSDB,59574,46735,15658
PL,41051,42819,42289
PSB,29530,25477,16464
REPUBLICANOS,12197,17974,26641
PSOL,5905,11683,22083
PSD,0,26641,29787
