partido,2011,2016,2026
MDB,612586,539617,331371
PT,447063,436728,383572
PP,367591,338017,203182
PDT,309200,283246,169673
PSDB,297876,262888,159658
PL,246309,256917,232595
PSB,177181,175130,134300
REPUBLICANOS,85381,116838,146530
PSOL,23624,43814,77293
PSD,0,133209,238300
